"idservicio","nombre","mercado","tipo","infraestructura","descripcion","resultados","fregistro","informante","entidad","autorizado"
"60","Diplomado Planificación Estratégica","Funcionarios del sector publico y privado. A sí como, la sociedad civil.","25","-Aula acondicionada con sistema de refrigeración.
-Sillas
-Mesas.
-Paquete Office
-Paquete SPSS.
-Window 2007-2010.
-Laptpo y Data Show.","Brindar a los participantes los instrumentos que faciliten anticiparse a los acontecimientos que afrontan las organizaciones en su dinámica de trabajo y aprovechar las oportunidades que ofrecer el ámbito de acción, a través del proceso de planificación estratégica.","-Funcionarios con una visión y una misión bien clara sobre el desarrollo de las instituciones.
-Motivación del trabajo en equipo dentro de las instituciones, pasando del interes individual al interes institucional.
-Desarrollado el habito en los funcionarios de trabajar de forma planificada en función de la buena gestión.","2010-10-26","Francisco Flores Morales","PPP","Si"
"191","Supervisión de la construcción de sistemas de tratamiento y disposición final de desechos sólidos.","\N","2","Equipo de oficina, camaras digitales, GPSy equipo de transporte","Supervision de las obras del sistema de tratamiento(trincheras, metodo de areas)","\N","2010-11-09","Russell Joseph - DI","BIOMASA","Si"
"65","Cursos Nacionales orientados al tema de Energía Renovable.","Estudiantes de universidades, docentes, representantes de empresas y otros interesados en Energía Renovable.","3","Se cuenta con bibliografía especializada, equipos para la elaboración de cargadores de batería, computadora, datashow.","Desde el año 2005 hemos incorporado a los servicios que brinda el PFAE el curso de capacitación en Energía Solar Térmica, el curso se da en dos etapas 1. Que son las clases teóricas y 2. Clase práctica. Los temas abordados son : 

I		 La Naturaleza de la Luz del Sol
a.	El recorrido del sol en el cielo
b.	Cantidad de Energía Solar que llega a la tierra
c.	La Luz del sol como radiación electromagnética de cuerpo negro.

II		Física Fotovoltaicos
a)	Cómo funcionan las Celdas Solares
b)	Como se hacen las Celdas Solares

III		Sistemas Fotovoltaicos
a)	Sistemas prácticos
b)	Nuevos desarrollos de Fotovoltaicos

IV		Física Térmica
a)	Cuatro método s de Transferencia de calor
b)	Capacidad Calorífica
c)	Almacenamiento de calor por un material

V. 		Dispositivos Prácticos Termo Solares
a)	Calefacción de aire y agua
b)	Cocinas Solares
c)	Secadores Solares

VI. 		Arquitectura Solar Térmica
a)	Ventilación 
b)	Aire acondicionado
","Desde 2005 se ha brindado 1 curso solar térmico fotovoltaico, en el año 2010 se han desarrollaron 2 cursos en los meses de febrero y agosto.
A dichos cursos asisten estudiantes de ingeniería, docentes de diversas universidades, personal de diversas empresas que trabajan en el tema de Energía Renovable.
","2010-10-26","Suyen Córdoba","PFAE","Si"
"66","Diplomado en Gestión y Desarrollo Rural","Funcionarios de Instituciones Públicas y Privadas, Sociedad civil, Centros de Investigación, Organismos No Gubernamentales","25","Aulas especializadas, software, Transporte para realización de visitas de campo, Centro de Información Ambiental","Formación de Diplomados en Gestión Ambiental y Desarrollo Rural.","Graduados de Diplomado en Gestión Ambiental y Desarrollo Rural. Clientes o Entidades a quien se brindó el servicio: Funcionarios de Alcaldías. Sociedad Civil.","2010-10-26","Wilfredo Varela Fonseca","PEAUT","Si"
"67","Diplomado en Gestión Ambiental y Desarrollo Urbano","Funcionarios de Instituciones Públicas y Privadas, Sociedad civil, Centros de Investigación, Organismos No Gubernamentales","25","Aulas especializadas, software, Transporte para realización de visitas de campo, Centro de Información Ambiental","Formación de Diplomados en Gestión Ambiental y Desarrollo Urbano","Graduados Diplomados en Gestión Ambiental y Desarrollo Urbano. Clientes o Entidades a quien se brindó el servicio: Funcionarios de Alcaldías municipales","2010-10-26","Wilfredo Varela Fonseca","PEAUT","Si"
"68","Diplomado Ejecutivo  en Telecomunicaciones ","Profesionales con grado de Licenciatura, Ingenieria, ONG°S, Empresas privadas, Instituciones y publico en general.","25","\N","\N","\N","2010-10-26","Mildred Silva","FEC","Si"
"69","Diplomado en Gestión Ambiental y Desarrollo del sector Salud","Funcionarios de Instituciones Públicas y Privadas, Sociedad civil, Centros de Investigación, Organismos No Gubernamentales","25","Aulas especializadas, software, Transporte para realización de visitas de campo, Centro de Información Ambiental","Formación de Diplomados en Gestión Ambiental y Desarrollo del Sector Salud","Graduación de Diplomados en Gestión Ambiental y Desarrollo del sector Salud. Clientes o Entidades a quien se brindó el servicio: MINSA","2010-10-26","Wilfredo Varela Fonseca","PEAUT","Si"
"70","Maestria en Gestion de Tecnologia de Informacion y Comunicacion ","Profesionales con grado de Licenciado, Ingeniero, ONG°S, Empresas privadas, Instituciones y Publico en General","27","\N","\N","\N","2010-10-26","Mildred Silva","FEC","Si"
"71","Gestión Ambiental en Infraestructura y Equipamiento","Funcionarios de Instituciones Públicas y Privadas, Sociedad civil, Centros de Investigación, Organismos No Gubernamentales","25","Aulas especializadas, software, Transporte para realización de visitas de campo, Centro de Información Ambiental","Formación de Diplomados en Gestión Ambiental en Infraestructura y Equipamiento.","graduación de Diplomados en Gestión Ambiental en Infraestructura y Equipamiento.  Clientes o Entidades a quien se brindó el servicio: Ministerio de Transporte e Infraestructura.","2010-10-26","Wilfredo Varela Fonseca","PEAUT","Si"
"75","Maestria de Energia Renovable","Profesionales con grado de Licenciado, Ingeniero, ONG""S, Empresas privadas, Instituciones y Publico en General","27","\N","\N","\N","2010-10-26","Mildred Silva","FEC","Si"
"81","UNISOF","Empresas Privadas, Instituciones, ONG""S, Público en General","3","\N","\N","\N","2010-10-27","Mildred Silva","FEC","Si"
"103","Gestión tecnológica y educativa de aplicaciones informáticas instalables en servidores.","Docentes, universidades, empresas públicas y privadas","2","Servidores, Internet, computadoras, multimedia","\N","\N","2010-10-28","Norman René Trujillo Zapata","uol","Si"
"104","Capacitación sobre herramientas de tecnología educativa.","Docentes, universidades, empresas públicas y privadas","3","computadoras, aulas, equipo multimedia","\N","\N","2010-10-28","Norman René Trujillo Zapata","uol","Si"
"85","Desarrollo  de Proyecto electro enérgetico, Certificacion y Pruebas de Parámetros Eléctricos, Ensayos de Laboratorios","Sector Industrial, Comercial, ministerios públicos, agentes del mercado eléctrico y personas naturales que soliciten nuestro servicios.","32","Laboratorio de Maquinas Eléctrica, Laboratorio de Sistema de Control, Laboratorio de Simulacion del Departamento de Ingeniería Eléctrica, Equipos de Medición Multifuncionales (8unid), Analizador de Redes (01), Analizador de Calidad de Energía(02), Medidores de factor potencia (03), Secuencia de Fase(02), Luxometros (02), Analizador de Aceites Dielectrícos (01), Probador de Transformadores de Potencia(02).","-Estudios electro energéticos (auditoria electro energéticas), implememtación de estudios administración de la energía eléctrica y térmica de control de demanda energía eléctrica.
-Diseño de sistema electro energéticos ambientales sostenible usando demóticas, energía solar, producción más limpia e implementacion de fuentes alternas de energía.
-Diseño e implematación sistema de generación de pequeña potencia usnado demótica energía renovable: solar, eólica, biomasa y pequeña centrales hidroeléctricas, asi como grupos electrógenos para sistema de respaldo (Potencia Stand By), sistema de cortes de horas de punta y grupo generadores para potencia continua.
- Diseño y construcción de redes eléctricas de distribucion, en topologías aéreas o subterráneas y configuraciones monofásicas. Se diseñan y construyen sistemas electromecánicos de baja tensión: sistema de climatización, iluminación, señales y datos e instalaciones eléctricas.
- Consultoría en la preparación y evaluación de proyecto a nivel de prefactibilidad y factibilidad; así mismo se oferta la supervisión de la ejecución de los proyectos.
-Capacitación en áreas de gerencia de proyectos y evaluaciones, finacieras, económicas y ambientales de proyectos.
-Pruebas de Transformación de media y baja tensión.
-Prueba de Parámetros de Equipo Electrónicos.
-Análisis de Dieléctricos.","Ensayos de Rendimiento de Equipos Estabilizadores Reductores de Tensión-Empresa BEROTZ Nicaragua
Ensayos de Dieléctricos en transformador de Media Tensión-Empresa INAPROY.","2010-10-27","Mildred Silva","FEC","Si"
"86","Consultoría en Telecomunicaciones y medio ambiente","Egresados de la Carrera de Electrónica, Telecomunicaciones o afines
Profesionales que desean actualizar sus conocimientos
Empresas del sector que requieran de estos servicios, tanto  de capacitación cono Formulación y Administración de Proyectos tecnológicos con impacto ambiental","2","Equipos de Mediciones para trabajos de campo en sistemas de Teleconunicaciones Laboratorios  de Telecomunicaciones totalemente equipado  y amueblando  PC Portatatiles y Sofware de Planificación de redes de Telecomunicaciones
Laboratorios de Redes de computadoras","- Sevicios de Medición de Radiaciones de Alta y Baja  Frecuencia:
1) Estudios del Impacto Electromagnéticos.
2) Estudios de Radiaciones No Ionizantes.
- Trabajos de asesoría, consultoría, ingeniería, proyecto, implementacion, mantenimiento y optimizacion en el campo de la electrónica, telecomunicaciones,telemática, informática y computación.
-Asesoria y desarrollo de actividades relacionadas con la conservacion y preservación del medio ambiente, trabajos  de asesoría y consutoría, monitoreo, vigilancia y control de parámetros ambientales y elaboración de estudios de impacto ambiental.
-Servicios de capacitación en redes de Telecomunicaciones, Telemática, electrónica e informática.
-Alquiler de equipos mediciones, laboratorios y equipos audiovisuales
-Venta e instalación de equipos de radiocomunicaciones
-Certificación y diseño de redes de cableado estructurado
-Certificación y diseño de radio enlaces","\N","2010-10-27","Mildred Silva","FEC","Si"
"87","Entrenamiento empresarial en el área de automatización industrial y electrónica aplicada","comunidad estudiantil, docente, industria en general","33","En anexo","\N","Cursos de entrenamiento:
Los cursos de entrenamiento en control tendrán como objetivo mostrar las diferentes aplicaciones de los sistemas de control. Ejemlicando las técnicas de control ylos contralores más utilizados en la industria nicaragüense.

Cursos de entrenemiento en controladores programable, los estudiantes podrán implementar algoritmos para uso de procesos industriales y domótica. Se le brindara los conocimientos sobre diferentes controladores sus funciones y dispositivos periféricos disponibles.

Para el curso de entrenamiento de SCADA, el propósito es que los estudiantes diseñar sistemas SCADA y/o de adquisición, utilizando tecnología avanzada y de acuerdo a las metodología y estándares establecidos. Este curso podría combinarse con la telemática de las redes industriales para las que deberán resaltarse los aspectos de estándares y tecnología utilizada en estos sistema

Cursos de entrenamiento Basico en robótica, en este curso se brindaran los fundamentos de un sistema robótico y sus diferentes usos y aplicaciones en la industria.

Cursos de entrenamiento en electrónica de potencia, electrónica  aplicada, electrónica básica, en estos casos brindaran los fundamentos teóricos de la electrónica analógica, dispositivos (funcionamiento y característica principales) y sus aplicaciones diferentes aplicaciones.

Cursos de entrenamiento en electro neumática en el que se birndaran fundamentos teóricos y prácticos para abordar los aspectos de: terminología, elementos básicos del sistema de dimensionamiento y montaje.

Asesoría

En este caso se brindaran las asesoría para la mejora de procesos y/o equipamiento de tipo industrial o de sistemas domóticos. Esta asesoría pueden desarrollarse para la reparación, mejora o diseño de nuevos equipos o sistemas de control o automatización de procesos.
","2010-10-27","Mildred Silva","FEC","Si"
"88","Teoría y Gestión de Liderazgo ","-Instituciones publicas y privadas
-Alcaldías
-Sociedad civil.
-Organismos internacionales.
-Profesionales independientes.","3","-Aula acondicionada con sistema de refrigeración.
-Sillas
-Mesas.
-Paquete Office
-Paquete SPSS.
-Window 2007-2010.
-Laptpo y Data Show.
-Rotafolios","La capacitación en teoría y gestión de liderazgo, brinda alos participantes las herramientas  que permiten la construcción de  criterios y valores en torno a los estilos de liderazgo que se deben de impulsar en la procuar del bien común. A sí como,  un liderazgo compartido en las organizaciones.","-Apropiar a los participantes  de las herramientas que le permitan identificar los estilos de liderazgo y la pertinencia  de implementarlos en la organización en la que perticipa.

-Desarrollar un proceso que permita  identificar y valorar la importancia  de construir  un liderazgo compartido en las organizaciones.","2010-10-27","Francisco Flores Morales","PPP","Si"
"89","Valores Democráticos ","-Instituciones publicas y privadas
-Alcaldías
-Sociedad civil.
-Organismos internacionales.
-Tecnicos y profesionales independientes.
","3","-Aula acondicionada con sistema de refrigeración.
-Sillas
-Mesas.
-Paquete Office
-Paquete SPSS.
-Window 2007-2010.
-Laptpo y Data Show.
-Rotafolio","La capacitación presenta los valores democráticos como elementos indispensables para lograr la estabilidad y la gobernabilidad de una nación. Señalándose que los valores son como una brújula que guían el ideal siendo fuente de inspiración de leyes.","-Deliberar y participar de forma organizada, haciendo suso de normas parlamentarias.

-Aprender a deliberar por medios de causes cívicos no por medio de la  violencia.

-Ser mas tolerante.

-Desarrollar las tcencicas de cabildeo para alcanzar determinados objeticos en función de las mayorías.","2010-10-27","Francisco Flores Morales","PPP","Si"
"90","Diseno, Implementacion y Supervision de Redes Inalambricas MESH","Institucuines Publicas y/ privadas, PYMES organos de gobierno (SINAPRED)","11","Software e infraestructura de laboratorio","Consultoria y Asesoria enfocada en el diseno realizado a la medida de las necesidades de comunicacion para instituciones u organizaciones proveedoras de servicios de tecnologias de informacion (TIC) e infraestructura de telecomunicaciones","Las redes inalambricas (WMNs, por sus siglas en ingles), son muy importantes para aplicaciones tales como: Comunicaciones rurales, redes para comunicaciones de emergencias, e.g., luego de desastres naturales (terremotos, huracanes, tsunamis, erupciones, deslaves, etc. ), redes de sensores, redes comunitarias, sistemas de transporte, sistemas de vigilancia, entre otras.  ","2010-10-27","Oscar Somarriba Jarquin","ASDI-FEC","Si"
"106","Impacto de las TIC en el proceso de enseñanza y aprendizaje.","Docentes, universidades, escuelas","10","\N","\N","\N","2010-10-28","Norman René Trujillo Zapata","uol","Si"
"108","TIC y educación","docentes, universidades, escuelas","37","Internet, computadoras","\N","\N","2010-10-28","Norman René Trujillo Zapata","uol","Si"
"94","Presupuesto Municipal ","-Instituciones publicas y privadas
-Alcaldías
-Sociedad civil.
-Organismos internacionales.
-Profesionales independientes","3","-Aula a condicionada con sistema de refrigeración.
-Mesas y sillas.
-Computadora
-Data Show
-Office
-Rotafolio","Explicar sobre las normas y principios generales que requieren las municipalidades para la elaboración, aprobación, modificación, ejecución, seguimiento, cierre y evaluación de sus Presupuestos; enfatizando en que el presupuesto es un plan financiero anual de obligatorio cumplimiento del Gobierno Municipal.  ","-Conocimiento sobre el marco juridico presupuestario del municipio.
-Conocimiento sobre las estructuras del presupuesto municipal.
-Desarrollar actitudes propositivas en función de una mejor participación de la población en la elbaoración del presupuesto municipal.","2010-10-27","Francisco Flores Morales","PPP","Si"
"97","Diplomado de Enfoque Sectorial, Alineamiento y Armonización de la Cooperación","Funcionarios publicos y privados. A sí,  como la sociedad civil y profesiconales independientes.","22","-Aula acondicionada con sistema de refrigeración.
-Sillas
-Mesas.
-Paquete Office
-Window 2007-2010.
-Laptpo y Data Show.","Se presenta el contexto en que se desarrolla la ayuda al desarrollo hacia los países en vías de desarrollo. A sí, como el alineamiento y la armonización en función de la eficienia y la eficacia. El programa esta estructurado en 14 modulos tematicos, con una carga horaria de 200. ","-Funcionarios mejor informador sobre tema de la cooperación.
-Funcionarios desempeñandose con más eficiencia y eficacia en sus cargos.
-Cooperantes teniendo una mejor asistencia por parte de los funcionarios publicos.
-Funcionarios públicos desarrollando cultura de planificación y trabajando más en función del desarrollo nacional.","2010-10-27","Francisco Flores Morales","PPP","Si"
"98","Diplomado Derecho de Competencia","Esta dirigido a: economistas, abogados, generentes de empersas y demas profesionales que por su proyección profesional estén intresados en profundizar en materia de competencia.
","22","-Aula acondicionada con sistema de refrigeración.
-Sillas
-Mesas.
-Paquete Office
-Window 2007-2010.
-Laptpo y Data Show.","El presente curso busca promover a través de esta iniciativa una cultura de competencia con el animo de consolidar un sistema normativo que proteja los ineterses  de los consumidores, disminuya la competencia desleal  entre agentes económicos y proteja el sistema social de libre mercado.","Formar profesionales que manejen los fenomenos  de la competencia a partir del conocimiento de las reglas del juego de la competencia para tenet la capacidad de afrontar  los problemas que plantea tanto la competitividad del país como la competitividad interior de las empresas.","2010-10-27","Francisco Flores Morales","PPP","Si"
"77","Tecnico Superior en Computacion","Bachilleres, Tecnicos, Indentidades del Estado, Empresa privadas, Tecnico Medio  y Bachiller Tecnico.","30","\N","\N","\N","2010-10-26","Mildred Silva","FEC","Si"
"99","Maquila de software","toda institucion","37","Computadoras, programadores, Software para desarrollo, estudiantes de computación, docentes, espacio para realizar desarrollo de sistemas.","Una maquila de software puede concebirse como una fábrica que desarrolla sistemas computacionales a partir de un diseño que se ajusta a la medida de las necesidades del cliente y que se entrega debidamente documentado, probado y listo para instalarse (""llave en mano"").

El propósito del proyecto es generar fábrica de software en las facultades de ciencia y sistemas (Sistemas), y la FECD (Computación), además de las universidades participantes (con el involucramiento de jóvenes estudiantes de las carreras afines (sistemas, informática o computación), aprovechando a los profesores expertos en la disciplina como supervisores y asesores de los conglomerados que se conformarán en cada institución. Estos grupos mantendrán cercana comunicación para la debida integración de las aplicaciones tecnológicas desarrollada para clientes de diversos sectores productivos o de servicios tanto en los países de origen de cada universidad como para aquellos de otros países hispanos. Posteriormente y según se vaya dando el desarrollo de la maquila, se podrá abarcar otras regiones y adicionalmente generar software para comunidades con distintos idiomas.
","Clientes atendidos: PCI Nicaragua, sistema de monitoreo y evaluación de proyectos agrícolas CORNAP, sistema contable.","2010-10-28","Mildred Silva","FEC","Si"
"100","Soluciones e-wasting","Bares, Oficinas, universidades, restaurantes, parques, residenciales","39","Salón  de presentación, herramientas, espacio para taller, espacio para almacenamiento, transporte para la distribución de los productos.","Artículos de uso común (silla, mesas, camas, escritorios, papeleras, biombos, etc.), generados de desechos tecnológicos y/o contaminantes para el medio ambiente/salud.","Este servivio constituye propuesta","2010-10-28","Mildred Silva","FEC","Si"
"101","Emsamblaje de equipo electrónicos","Sector particular, empresarial, gobierno y universidades","5","-Area climatizada con los siguientes ambientes:Area de montaje de los equipos, bodegas de material primo, bodega de repuestos, área de reparaciones, oficina administrativa, servicios sanitarios, área de recreación.
- Herramientas múltiples de mano
-Herramienta especilizada según el dispositivo que se va a ensamblar
-equipos de medición.","El servicio consiste en el ensamblado  de quipos electrónicos. Estos pueden ser computadoras, equipos celulares, etc. Dentro  del servicio se podrán hacer repaciones de los equipos que se ensamblan. En el caso de los celularesse podría desarrollar instalación de sortware especiales desarrollado por empresa del mismo paque tecnológico.","Computadoras a precios razonable
Teléfonos celulares de bajo costo","2010-10-28","Mildred Silva","FEC","Si"
"132","Evaluación de sitios seguros para el desarrollo del hábitat","Instituciones públicas y privadas, Organismos no Gubernamentales","3","Instrumento para evaluación de sitios","Capacitación a funcionarios de entidades públicas y privadas en la evaluación de sitios para el desarrollo del hábitat.","Luego de recibir el curso, se habrá formado a funcionarios de diferentes entidades con la capacidad para evaluar sitios seguros para el desarrollo del hábitat, asegurando una inversión segura y la disminución de riesgo a desastres.","2010-10-30","Wilfredo Varela Fonseca","PEAUT","Si"
"102","Centro de Certificaión (Academia Regional CISCO, Microsoft, cableado estructurado, parámetros eléctricos)","Estudiantes de instituciones de educación postsecundaria, como escuelas técnicas o de formación  especializada, istituciones de enseñanza superior y universidades, técnicos y profesionales de carreras a fines.","40","Laboratorio con 15 PC (LAB. DITI)
Laboratorio de CMPUFEC (10PC)
-6 Routers CISCO 2811
-6 Routers CISCO 1711
-1 Routers CISCO 3600
-1 Routers CISCO 2600
-3 SWITCH Catalyst 2950
-3 SWITCH Catalyst 2960
- 8 Cable Back to Back v.35
-8 Cable de Console

","-Preparación para presentar el examen  de certificación de CCNA (Academia CISCO)
-Preparación para presentar el examen  de certificación de CompTIA (Academia 
CISCO)
-Certificación en estándares de cableado estructurado
-Certificación Microsoft
-Certificación de parámetros eléctricos (prueba de medidores, prueba de puntos SIMEC, prueba de transformadores)","La academia CISCO ha brindado por varios años los curso de preparación para la certificación CISCO a personas naturales o a empresas (paquetes especiales).","2010-10-28","Mildred Silva","FEC","Si"
"110","Entrenamieto Empresarial","Empresas en general, Ingenieros, Licenciados en computación, sistemas y carreras a fines","41","Laboratorios, teléfono, fax, computadores, publicidad, computadoras","Las organizaciones utilizan recursos humanos, materiales financieros y tecnológicos para la producción de bienes y servicios, generándose diferentes grados de rentabilidad.

A nivel mundial, los recursos humanos constituyen un factor clave para el logro de los objetivos estratégicos. Por eso este motivo, la importancia de la Administación de Recursos Humanos, ha hido aumentando, debido a que las empresas requieren cada vez más de personal altamente calificado y motivado para poder adaptarse a los constantes cambios del entorno
","Capacitaciones, certificaciones, configuración e instalaciones de soluciones informáticas con software libre. Entrenamiento a la medida del cliente que lo solicita en materia técnica específica, en las áreas de eléctrica, electrónica y computación.
El entrenamiento empresarial no contempla postgrado
","2010-10-28","Mildred Silva","FEC","Si"
"36","Curso de Gestión de la Investigación","Universidades, Centros e Institutos de Investigación, Docentes, Gestores I+D; Líderes Empresariales e Investigadores","21","Aula audiovisual, Computadora y Datashow","Temas a Desarrollar:
-Liderazgo. Tipos
-Cualidades de un gestor
-Política Científico-Tecnológica
-Planificación Estratégica
-Organización de la Gestión de la Investigación
-Normativas de la Gestión de la Investigación
-Gestión del Financiamiento
-Gestión de los Recursos Humanos
-Gestión del Crecimiento y Diversificación 
-Gestión de la Vinculación
-Gestión de la Divulgación
-Modelos de Gestión de la Investigación
-Buenas Prácticas de la Gestión de la investigación
Carga horaria: 40 horas
","Ofrecer los componentes necesarios para que el participante en forma participativa, mejore sus competencias para: conocer y aplicar los principales conceptos de Gestión Académica a los Programas de investigación de su universidad; identifique los aspectos que deberá considerar para su plan de gestión en investigación y los lineamientos para la planificación estratégica .","2010-10-20","Guillermo Salazar","PROCYTED","Si"
"127","Centro de Información Ambiental","Estudiantes, docentes, Público en general, funcionarios de instituciones públicas y privadas, investigadores. ","50","Local con material didáctico impreso y en formato digital, libros y tesinas de diplomado, especialidad, maestrías y doctorado en Ciencias del Ambiente.","Préstamo de libros y tesinas para consulta de investigación","Cada año se adquiere nuevas tesinas, libros de texto, revistas especializadas producto de investigaciones realizadas por estudiantes.","2010-10-29","Wilfredo Varela Fonseca","PEAUT","Si"
"105","Asesoría didáctica, curricular y pedagógica en materia de tecnología educativa y educación virtual","Docentes, universidades, empresas públicas y privadas","35","Computadora, Internet, logística","\N","\N","2010-10-28","Norman René Trujillo Zapata","uol","Si"
"35","Curso de Captura, visualización y análisis de mediciones con LabVIEW","Universidades, Centros e Institutos de Investigación, Investigadores, Gestores I+D, Docentes y Empresas del Sector Industrial","21","Aula Audiovisual, Computadoras, Software (LabVIEW), equipos de medición y Datashow.","Temas a Desarrollar:
-Bases del ambiente de programación de LabVIEW y su flujo de datos.
-Componentes de los Sistemas de Adquisición de Datos.
-Cómo Utilizar LabVIEW para realizar monitoreo y control de variables.
-Funciones de fácil manejo para adquirir, guardar y cargar datos en LabVIEW
-Realizar captura y análisis de señales usando la tarjeta de sonido de su PC.
-Almacenar datos en archivos para visualizar posteriormente en hojas de cálculo, bases de datos y otro software de terceros.
","Dotar de habilidades básicas para la captura y procesamiento de datos utilizando el Software LabVIEW con los equipos de medición recomendado para cada área de trabajo.","2010-10-20","Guillermo Salazar","PROCYTED","Si"
"38","Doctorado en Ciencia y Tecnología para el Desarrollo","Directores de Investigación y Desarrollo, Investigadores, Gestores I+D, Docentes y Profesionales con grado de Maestría.","23","Aula Audiovisuales, Datashow y computadoras","Formación de profesionales e investigadores aptos para comprender e incidir en la problemática local, nacional e internacional en materia de Ciencia, Tecnología, Ingeniería e Innovación, en su relación con el desarrollo educativo, productivo, económico y social, con capacidad de crear opciones pertinentes y de calidad para solucionar los problemas más sentidos de los países Latinoamericanos. ","Los egresados del Doctorado en Ciencia y Tecnología para el Desarrollo serán investigadores de alto nivel, aptos para innovar y proponer aportes originales al desarrollo del conocimiento, en sus áreas específicas de trabajo. Su calidad estará en concordancia con los parámetros de producción científica internacional en la materia. Será capaz de producir y publicar artículos científicos de nivel internacional. 
","2010-10-21","Guillermo Salazar","PROCYTED","Si"
"112","Curso de Comunicación Científica: Oral y Escrita
","Universidades, Centros e Institutos de Investigación, docentes, Investigadores y Gestores I+D","21","Data show, Sala Audiovisual y computadora.","Tópicos a Desarrollar.
-Introducción a las presentaciones científicas.
-Indicadores bibliométricos.
-Fuentes de información Bibliométrica.
-Procesos de las comunicaciones científicas
-Tipos de comunicaciones científicas
-Escritura científica:
    *Introducción
    *Qué es un artículo científico.
    *Cómo desarrollar artículos para su publicación.
    *Título.
    *Autores y su orden.
    *Cómo escribir un resumen.
    *Cómo desarrollar la introducción.
    *Cómo escribir los materiales y métodos.
    *Cómo escribir los resultados.
    *Cómo escribir la discusión.
    *Cómo escribir agradecimientos y referencias.
    *Cómo desarrollar tablas y gráficos.
    *Aspectos de ética profesional.
-Recomendaciones en la elaboración de Posters.
-Recomendaciones en la preparación de una ponencia oral.
","Brindar información relativa a la estructura y los contenidos propios de la Introducción y los Materiales y los Métodos y desarrollar habilidades que le permitan expresarlos de forma escrita y oral, con una secuencia correcta de sus partes.","2010-10-28","Guillermo Salazar","PROCYTED","Si"
"113","Taller Maquinas Herramientas
Torneado, fresado, taladrado, cepillado, esmerilado de todo tipo de piezas metálicas simples y de mediana complejidad
","Personas naturales o jurídicas, empresas estatales, privadas y a otras instancias de nuestra universidad como administración y otras facultades o unidades de servicio","44","6 tornos paralelos, 2 fresadoras, 2 taladros eléctricos,1 fresadora taladradora, 1 cepilladora, 1 sierra alternativa y 2 esmeriles","Elaboración de bujes, ejes, roscas, engranes, pernos y agujeros.","Elaboración de bujes, ejes, roscas, engranes, pernos y agujeros.","2010-10-28","Daniel Cuadra Horney","FTI","Si"
"122","Servicio de Capacitación en Maquinas Hidráulicas (Bombas: Instalación y Evaluación de Sistemas de Bombeo)","EMPRESAS, UNIVERSIDADES, ESTUDIANTES","37","El laboratorio cuenta con tres bancos de ensayo:
Banco de pruebas de Bombas Serie y Paralelo
Banco de Mediciones Hidráulicas
Banco de Ensayo de Turbinas Pelton
","Cursos libres para estudiantes de Ingeniería, Capacitaciones a empresas en el área de Instalación y Evaluación de Sistemas de Bombeo. ","Los  cursos Capacitación incluyen teoría y práctica y están orientados  a saber hacer, se incluye un diploma de Aprobado en el caso de cursos libres o cursos de capacitación","2010-10-28","Daniel Cuadra Horney","FTI","Si"
"114","Mantenimiento preventivo y correctivo de motores de combustión y vehículos.
Diagnostico y corrección de fallas menores de motores y vehículos","Especialmente se le puede dar mantenimiento preventivo a los vehículos de las instancias de internas de nuestra universidad como administración, facultades y unidades de servicio.","45","2 banco de trabajo, 1 taladro de banco, 4 mesas de trabajo, 2 tina móvil para lavado de piezas, compresor, 1 elevador hidráulico, 1 gata hidráulica, 1 camilla automotriz, 1 soporte para embanque, 1 gato de tornillo, 1 engrasadora, caja de herramientas.","Lavado, lubricacion  general, chequeo de niveles, cambio de aceite y filtro, afinado menor, mantenimiento preventivo (chequeo de 5000, 10,000, 20,000 etc.), diagnostico y reparación de fallas menores del motor y del vehículo","Actualmente no se está brindando estos servicios aunque se cuenta con los equipos básicos para hacerlos, una buena oportunidad para el taller puede ser brindarle mantenimiento preventivo a la flota vehicular de la UNI y sus facultades a un menor costo que los talleres privados.","2010-10-28","Daniel Cuadra Horney","FTI","Si"
"115","Taller de Soldadura
Servicio de soldadura eléctrica, oxiacetilénica, por puntos y en argón
","Personas naturales o jurídicas, empresas estatales, privadas y a otras instancias de nuestra universidad como administración, facultades y  unidades de servicio.","46","1 soldador de puntos, 2 soldadores MIG, 4 soldadores de arco eléctrico,1 soldador autógeno,4 mesas de trabajo, 2 dobladoras, 4 cortadoras, 1 roladora, 1 yunque, 1 cortador de plasma, 1 extractor de gases, 6 juegos de oxicorte, juego de herramientas.","Construcción de estructuras metálicas y reparación de piezas por soldadura eléctrica, de puntos y oxiacetilénica","Sinergia UNI, FTC, Administración RUPAP, proyecto de biodigestor, monografiantes y otros.","2010-10-28","Daniel Cuadra Horney","FTI","Si"
"116","Taller de fundición
Construcción de moldes y fundición de piezas metálicas simples y de mediana complejidad.","Personas naturales o jurídicas, empresas estatales, privadas micro, pequeñas, medianas y grandes que demanden este tipo de servicio","47","1 horno de crisol basculante, 1 horno de cubilote, 1 horno vertical de crisol, 15 cajas de moldeo, 1 recipiente para vertido, 1 estufa, 3 soportes para vertido de crisoles, 1 colador, 5 moldes y 2 modelos.","Elaboración por fundición de piezas pequeñas en hierro, aluminio y bronce.","Capacitación a fundidores de ciudad Sandino, elaboración de piezas fundidas a empresas privadas.","2010-10-28","Daniel Cuadra Horney","FTI","Si"
